match_id,season,date,home_team_id,home_team,away_team_id,away_team,home_goals,away_goals,et1,et2,pen1,pen2,result_after_90,result_after_extra_time,extra_time,went_to_penalties,phase,round,leg,group,format,match_type,mode,mode_detail
61150,1955-1956,1955-09-04 17:00:00+00:00,50149,Sporting Clube de Portugal,50162,FK Partizan,3,3,3.0,3.0,,,DRAW,DRAW,False,False,TOURNAMENT,FIRST,1.0,,REGULAR,FIRST_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61152,1955-1956,1955-09-07 19:00:00+00:00,52815,MTK Budapest,50074,RSC Anderlecht,6,3,6.0,3.0,,,HOME_WIN,HOME_WIN,False,False,TOURNAMENT,FIRST,1.0,,REGULAR,FIRST_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61154,1955-1956,1955-09-08 15:45:00+00:00,50008,Servette FC,50051,Real Madrid CF,0,2,0.0,2.0,,,AWAY_WIN,AWAY_WIN,False,False,TOURNAMENT,FIRST,1.0,,REGULAR,FIRST_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61156,1955-1956,1955-09-14 19:00:00+00:00,65175,SC Rot-Weiss Essen,52821,Hibernian FC,0,4,0.0,4.0,,,AWAY_WIN,AWAY_WIN,False,False,TOURNAMENT,FIRST,1.0,,REGULAR,FIRST_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61158,1955-1956,1955-09-20 19:00:00+00:00,52809,Djurgårdens IF,64220,Gwardia Warszawa,0,0,0.0,0.0,,,DRAW,DRAW,False,False,TOURNAMENT,FIRST,1.0,,REGULAR,FIRST_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61162,1955-1956,1955-09-21 15:00:00+00:00,50042,SK Rapid Wien,50062,PSV Eindhoven,6,1,6.0,1.0,,,HOME_WIN,HOME_WIN,False,False,TOURNAMENT,FIRST,1.0,,REGULAR,FIRST_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61160,1955-1956,1955-09-21 19:00:00+00:00,50019,AGF Aarhus,64165,Stade de Reims,0,2,0.0,2.0,,,AWAY_WIN,AWAY_WIN,False,False,TOURNAMENT,FIRST,1.0,,REGULAR,FIRST_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61151,1955-1956,1955-10-12 14:00:00+00:00,50162,FK Partizan,50149,Sporting Clube de Portugal,5,2,5.0,2.0,,,HOME_WIN,HOME_WIN,False,False,TOURNAMENT,FIRST,2.0,,EXTRA_TIME_WITH_PENALTIES,SECOND_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61155,1955-1956,1955-10-12 15:30:00+00:00,50051,Real Madrid CF,50008,Servette FC,5,0,5.0,0.0,,,HOME_WIN,HOME_WIN,False,False,TOURNAMENT,FIRST,2.0,,EXTRA_TIME_WITH_PENALTIES,SECOND_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61159,1955-1956,1955-10-12 19:00:00+00:00,64220,Gwardia Warszawa,52809,Djurgårdens IF,1,4,1.0,4.0,,,AWAY_WIN,AWAY_WIN,False,False,TOURNAMENT,FIRST,2.0,,EXTRA_TIME_WITH_PENALTIES,SECOND_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61157,1955-1956,1955-10-12 19:15:00+00:00,52821,Hibernian FC,65175,SC Rot-Weiss Essen,1,1,1.0,1.0,,,DRAW,DRAW,False,False,TOURNAMENT,FIRST,2.0,,EXTRA_TIME_WITH_PENALTIES,SECOND_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61153,1955-1956,1955-10-19 19:00:00+00:00,50074,RSC Anderlecht,52815,MTK Budapest,1,4,1.0,4.0,,,AWAY_WIN,AWAY_WIN,False,False,TOURNAMENT,FIRST,2.0,,EXTRA_TIME_WITH_PENALTIES,SECOND_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61161,1955-1956,1955-10-26 19:00:00+00:00,64165,Stade de Reims,50019,AGF Aarhus,2,2,2.0,2.0,,,DRAW,DRAW,False,False,TOURNAMENT,FIRST,2.0,,EXTRA_TIME_WITH_PENALTIES,SECOND_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61163,1955-1956,1955-11-01 13:15:00+00:00,50062,PSV Eindhoven,50042,SK Rapid Wien,1,0,1.0,0.0,,,HOME_WIN,HOME_WIN,False,False,TOURNAMENT,FIRST,2.0,,EXTRA_TIME_WITH_PENALTIES,SECOND_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61164,1955-1956,1955-11-01 19:00:00+00:00,50058,AC Milan,65170,1. FC Saarbrücken,3,4,3.0,4.0,,,AWAY_WIN,AWAY_WIN,False,False,TOURNAMENT,FIRST,1.0,,REGULAR,FIRST_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61165,1955-1956,1955-11-23 13:15:00+00:00,65170,1. FC Saarbrücken,50058,AC Milan,1,4,1.0,4.0,,,AWAY_WIN,AWAY_WIN,False,False,TOURNAMENT,FIRST,2.0,,EXTRA_TIME_WITH_PENALTIES,SECOND_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61166,1955-1956,1955-11-23 20:00:00+00:00,52809,Djurgårdens IF,52821,Hibernian FC,1,3,1.0,3.0,,,AWAY_WIN,AWAY_WIN,False,False,TOURNAMENT,QUARTER_FINALS,1.0,,REGULAR,FIRST_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
61167,1955-1956,1955-11-28 19:30:00+00:00,52821,Hibernian FC,52809,Djurgårdens IF,1,0,1.0,0.0,,,HOME_WIN,HOME_WIN,False,False,TOURNAMENT,QUARTER_FINALS,2.0,,EXTRA_TIME_WITH_PENALTIES,SECOND_LEG,KNOCK_OUT,KNOCK_OUT_TWO_LEGS
